	Content	Vaccine content	Vaccine safety	date	text_clean	Filter	text_wo_filter_word	text_wo_stopwords_or_filter
1760	?? Come funzionano i nuovi vaccini anti Covid: l'intervista a Ciccozzihttps://t.co/UyDXlyG37R	1.0	0.0	2023-10-14 20:52	 come funzionano i nuovi vaccini anti covid lintervista a ciccozzi	vaccini	 come funzionano i nuovi  anti covid lintervista a ciccozzi	funzionano nuovi anti covid lintervista ciccozzi
1761	????PIÙ VACCINI PER PRAPARARCI ALLA PROSSIMA PANDEMIA CHE PUÒ ESSERE PEGGIORE. COSTRUIRE PARTNERSHIP PUBBLICO/PRIVATO O I VIRUS DISTRUGGERANNO NOSTRI SISTEMI ECONOMICI E POLITICI.??Molti immaginano che le parole di alcuni esponenti di istituzioni di rilievo, come in questo caso https://t.co/LF1DNmtRCF	1.0	0.0	2023-09-13 17:10	più vaccini per prapararci alla prossima pandemia che può essere peggiore costruire panership pubblicoprivato o i virus distruggeranno nostri sistemi economici e politicimolti immaginano che le parole di alcuni esponenti di istituzioni di rilievo come in questo caso 	vaccini	più  per prapararci alla prossima pandemia che può essere peggiore costruire panership pubblicoprivato o i virus distruggeranno nostri sistemi economici e politicimolti immaginano che le parole di alcuni esponenti di istituzioni di rilievo come in questo caso 	prapararci prossima pandemia può essere peggiore costruire panership pubblicoprivato virus distruggeranno sistemi economici politicimolti immaginano parole alcuni esponenti istituzioni rilievo caso
1762	???? prestare molta attenzione: pare che tanti  #dentisti facciano vaccini #Covid furtivamente https://t.co/vpg7Y8drgm	1.0	0.0	2023-09-05 13:06	 prestare molta attenzione pare che tanti  dentisti facciano vaccini covid fuivamente 	vaccini	 prestare molta attenzione pare che tanti  dentisti facciano  covid fuivamente 	prestare molta attenzione pare tanti dentisti covid fuivamente
82	Già hanno iniziato e siamo ancora a Settembre!Dicono nel bollettino che nell'ultima settimana il covid ha ucciso 65 persone ed è in arrivo la prima ondata dell'autunno.Preparate il green pass.Io non ce ?ho perché non sono vaccinato.	1.0	0.0	2023-09-01 19:24	già hanno iniziato e siamo ancora a settembredicono nel bollettino che nellultima settimana il covid ha ucciso  persone ed è in arrivo la prima ondata dellautunnopreparate il green passio non ce ho perché non sono vaccinato	vaccinato	già hanno iniziato e siamo ancora a settembredicono nel bollettino che nellultima settimana il covid ha ucciso  persone ed è in arrivo la prima ondata dellautunnopreparate il green passio non ce ho perché non sono 	già iniziato ancora settembredicono bollettino nellultima settimana covid ucciso persone arrivo prima ondata dellautunnopreparate green passio ce
125	È tornato n. 1 al mondo. Nonostante la carriera compromessa. Se si fosse vaccinato ora sarebbe n.1 al mondo. Invece https://t.co/yBdyAmeorn	1.0	0.0	2023-09-02 8:18	è tornato n  al mondo nonostante la carriera compromessa se si fosse vaccinato ora sarebbe n al mondo invece 	vaccinato	è tornato n  al mondo nonostante la carriera compromessa se si fosse  ora sarebbe n al mondo invece 	tornato n mondo nonostante carriera compromessa ora n mondo invece
155	#DjokovicAllo #USOpenrimonta lo svantaggio di 2-0, con una incredibile vittoriaÈ evidente che si fosse vaccinato avrebbe vinto facilmente 3-0, nonostante l'età avanzata,come farebbe il coetaneo Nadal, che si è mantenuto in forma rispettando le regolehttps://t.co/KuQar1sulH	1.0	0.0	2023-09-02 13:37	djokovicallo usopenrimonta lo svantaggio di  con una incredibile vittoriaè evidente che si fosse vaccinato avrebbe vinto facilmente  nonostante letà avanzatacome farebbe il coetaneo nadal che si è mantenuto in forma rispettando le regole	vaccinato	djokovicallo usopenrimonta lo svantaggio di  con una incredibile vittoriaè evidente che si fosse  avrebbe vinto facilmente  nonostante letà avanzatacome farebbe il coetaneo nadal che si è mantenuto in forma rispettando le regole	djokovicallo usopenrimonta svantaggio incredibile vittoriaè evidente vinto facilmente nonostante letà avanzatacome coetaneo nadal mantenuto forma rispettando regole
166	NON SONO VACCINATO MA RISPETTO I VACCINATI CONTRO IL COVID, IDEM DOVREBBERO FARE LORO INVECE DI INSULTARE IL RISPETTO RECIPROCO DOVREBBE ESSERE ALLA BASE DELLA VITA	1.0	0.0	2023-09-02 15:32	non sono vaccinato ma rispetto i vaccinati contro il covid  idem dovrebbero fare loro invece di insultare il rispetto reciproco dovrebbe essere alla base della vita	vaccinato	non sono  ma rispetto i vaccinati contro il covid  idem dovrebbero fare loro invece di insultare il rispetto reciproco dovrebbe essere alla base della vita	rispetto vaccinati covid idem dovrebbero fare invece insultare rispetto reciproco dovrebbe essere base vita
171	"""SIRINGHE VOLANTI "": gli NIH hanno appena vaccinato un essere umano, usando le zanzare geneticamente modificate di Bill Gates   https://t.co/VJKCZKHUCU"	1.0	0.0	2023-09-02 16:13	siringhe volanti  gli nih hanno appena vaccinato un essere umano usando le zanzare geneticamente modificate di bill gates   	vaccinato	siringhe volanti  gli nih hanno appena  un essere umano usando le zanzare geneticamente modificate di bill gates   	siringhe volanti nih appena essere umano usando zanzare geneticamente modificate bill gates
187	E io che pensavo che l'Italia fosse il paese più vaccinato. https://t.co/agNtZK2FVr	1.0	0.0	2023-09-02 20:27	e io che pensavo che litalia fosse il paese più vaccinato 	vaccinato	e io che pensavo che litalia fosse il paese più  	pensavo litalia paese
198	"@marcopreve  ma dopo 'sta cagata di articolo che hai scritto su @repubblica , due righe su chi si è "" ""vaccinato ""per proteggere se stesso e gli altri "" ed ora invece ""ha il covviddì e non sta bene"" non le butti giù? Davvero molto meglio lo yoga , ciccio!! https://t.co/XiREsOYGfw https://t.co/f7yY353Ppu"	1.0	0.0	2023-09-02 22:08	  ma dopo sta cagata di aicolo che hai scritto su   due righe su chi si è  vaccinato per proteggere se stesso e gli altri  ed ora invece ha il covviddì e non sta bene non le butti giù davvero molto meglio lo yoga  ciccio  	vaccinato	  ma dopo sta cagata di aicolo che hai scritto su   due righe su chi si è   per proteggere se stesso e gli altri  ed ora invece ha il covviddì e non sta bene non le butti giù davvero molto meglio lo yoga  ciccio  	dopo cagata aicolo scritto due righe proteggere stesso altri ora invece covviddì bene butti giù davvero molto meglio yoga ciccio
218	Malore in casa, muore militante leghista ???? vaccinato anche lui? ?@giusbrindisi?  https://t.co/o8fVlESxjV	1.0	1.0	2023-09-03 7:24	malore in casa muore militante leghista  vaccinato anche lui   	vaccinato	malore in casa muore militante leghista   anche lui   	malore casa muore militante leghista
220	Malore in casa, muore militante leghista ???? vaccinato anche lui? ?@Quirinale? ??@MinisteroSalute? ?@ANMagistrati?  https://t.co/o8fVlESxjV	1.0	1.0	2023-09-03 7:24	malore in casa muore militante leghista  vaccinato anche lui     	vaccinato	malore in casa muore militante leghista   anche lui     	malore casa muore militante leghista
224	"https://t.co/YfLBG7YivF???? +81% in Italia.... Ma non si vantavano di aver vaccinato più di tutti? Allora è vero che li avete presi tutti x il cu@o con la balla che ""il vaccino ti garantisce di stare fra persone sane"".... ????"	1.0	0.0	2023-09-03 8:33	 8 in italia ma non si vantavano di aver vaccinato più di tutti allora è vero che li avete presi tutti x il cu con la balla che il vaccino ti garantisce di stare fra persone sane 	vaccinato	 8 in italia ma non si vantavano di aver  più di tutti allora è vero che li avete presi tutti x il cu con la balla che il vaccino ti garantisce di stare fra persone sane 	8 italia vantavano aver allora vero presi x cu balla vaccino garantisce stare fra persone sane
228	In pochi giorni:- io non mi sono vaccinato e sto benissimo- abbiamo allungato le ferie con 10 giorni di malattia eh eh- senza IVA, che poi è un costo inutile per entrambiMa dove vogliamo andare? ??	1.0	0.0	2023-09-03 10:32	in pochi giorni io non mi sono vaccinato e sto benissimo abbiamo allungato le ferie con  giorni di malattia eh eh senza iva che poi è un costo inutile per entrambima dove vogliamo andare 	vaccinato	in pochi giorni io non mi sono  e sto benissimo abbiamo allungato le ferie con  giorni di malattia eh eh senza iva che poi è un costo inutile per entrambima dove vogliamo andare 	pochi giorni benissimo allungato ferie giorni malattia eh eh senza iva poi costo inutile entrambima vogliamo andare
341	"«Ogni vaccinato in più è un ricoverato in meno in terapia intensiva». ???? si tratta forse del giovane medico recentemente deceduto per ""malore improvviso""? ????? ?@Quirinale? ?@Palazzo_Chigi? ??@giusbrindisi? ?@MinisteroSalute?  https://t.co/zD99L20uRu"	1.0	1.0	2023-09-05 9:54	ogni vaccinato in più è un ricoverato in meno in terapia intensiva  si tratta forse del giovane medico recentemente deceduto per malore improvviso       	vaccinato	ogni  in più è un ricoverato in meno in terapia intensiva  si tratta forse del giovane medico recentemente deceduto per malore improvviso       	ogni ricoverato meno terapia intensiva tratta forse giovane medico recentemente deceduto malore improvviso
342	Morto il dottor Realdon, il cordoglio di Zaia: «La sanità veneta perde un raro esempio di umanità» ???? MORTO DA MALORE IMPROVVISO ANCHE LUI?  ERA VACCINATO VERO ?@zaiapresidente? ? RISPONDI ZAIA ?@giusbrindisi? ?@MinisteroSalute?  https://t.co/Rg3wNhfDPt	1.0	1.0	2023-09-05 10:03	moo il dottor realdon il cordoglio di zaia la sanità veneta perde un raro esempio di umanità  moo da malore improvviso anche lui  era vaccinato vero   rispondi zaia    	vaccinato	moo il dottor realdon il cordoglio di zaia la sanità veneta perde un raro esempio di umanità  moo da malore improvviso anche lui  era  vero   rispondi zaia    	moo dottor realdon cordoglio zaia sanità veneta perde raro esempio umanità moo malore improvviso vero rispondi zaia
455	Lo scrive il CDC.Chi ha ricevuto il vaccino è più a rischio di contrarre nuova variante.Come la mettiamo con salute e sicurezza sul luogo di lavoro adesso?Lavorerà solo chi non si è mai vaccinato e che non ha mai contratto covid?#CGIL #UIL #CISLhttps://t.co/OlKNr0pqX5 https://t.co/M4wxyQDMsG	1.0	1.0	2023-09-06 6:48	lo scrive il cdcchi ha ricevuto il vaccino è più a rischio di contrarre nuova variantecome la mettiamo con salute e sicurezza sul luogo di lavoro adessolavorerà solo chi non si è mai vaccinato e che non ha mai contratto covid cgil uil cisl 	vaccinato	lo scrive il cdcchi ha ricevuto il vaccino è più a rischio di contrarre nuova variantecome la mettiamo con salute e sicurezza sul luogo di lavoro adessolavorerà solo chi non si è mai  e che non ha mai contratto covid cgil uil cisl 	scrive cdcchi ricevuto vaccino rischio contrarre nuova variantecome mettiamo salute sicurezza luogo lavoro adessolavorerà solo mai mai contratto covid cgil uil cisl
465	"#USA Joe #Biden.  Preferito.- ""Ti sei vaccinato?  E come?  Va tutto bene?  E poi ti guardo... Ma in generale funziona.  O sai... mamma e papà... o... o... o vicino.  O quando vai in chiesa.  Oppure... No, dico sul serio.  Ci sono fidati... Pensa a quelli che... Se tuo figlio ?? https://t.co/I6SOShAnBF"	1.0	0.0	2023-09-06 9:00	usa joe biden  preferito ti sei vaccinato  e come  va tutto bene  e poi ti guardo ma in generale funziona  o sai mamma e papà o o o vicino  o quando vai in chiesa  oppure no dico sul serio  ci sono fidati pensa a quelli che se tuo figlio  	vaccinato	usa joe biden  preferito ti sei   e come  va tutto bene  e poi ti guardo ma in generale funziona  o sai mamma e papà o o o vicino  o quando vai in chiesa  oppure no dico sul serio  ci sono fidati pensa a quelli che se tuo figlio  	usa joe biden preferito va bene poi guardo generale funziona sai mamma papà vicino quando vai chiesa oppure no dico serio fidati pensa figlio
497	"""La linea azzurra indica i cittadini NON vaccinati mRNA Covid-19"".https://t.co/k7fUW3XPCN"	1.0	0.0	2023-09-06 19:17	la linea azzurra indica i cittadini non vaccinati mrna covid 	vaccinato	la linea azzurra indica i cittadini non vaccinati mrna covid 	linea azzurra indica cittadini vaccinati mrna covid
520	Lui non si è vaccinato. E tu? https://t.co/kGjXQefA6V	1.0	0.0	2023-09-07 2:22	lui non si è vaccinato e tu 	vaccinato	lui non si è  e tu 	
606	Herpes zoster, in FVG vaccinato il 30,6% degli over 65 https://t.co/JxG8AGhY29 https://t.co/Jigm7Et7Cs	1.0	0.0	2023-09-07 14:30	herpes zoster in fvg vaccinato il  degli over   	vaccinato	herpes zoster in fvg  il  degli over   	herpes zoster fvg over
662	Tuo figlio doveva avere il greenpass invece oggi I quella scuola c'è un africano manco vaccinato che ci dorme, mangia e piscia alla faccia tua#covidiota	1.0	0.0	2023-09-07 19:06	tuo figlio doveva avere il greenpass invece oggi i quella scuola cè un africano manco vaccinato che ci dorme mangia e piscia alla faccia tuacovid ota	vaccinato	tuo figlio doveva avere il greenpass invece oggi i quella scuola cè un africano manco  che ci dorme mangia e piscia alla faccia tuacovid ota	figlio doveva avere greenpass invece oggi scuola cè africano manco dorme mangia piscia tuacovid ota
797	Non conosco un solo vaccinato che non abbia avuto da gravi problemi di salute a alterazioni del sistema nervoso o stravolgimento dei valori nel sangue. #Covid	1.0	1.0	2023-09-08 15:18	non conosco un solo vaccinato che non abbia avuto da gravi problemi di salute a alterazioni del sistema nervoso o stravolgimento dei valori nel sangue covid	vaccinato	non conosco un solo  che non abbia avuto da gravi problemi di salute a alterazioni del sistema nervoso o stravolgimento dei valori nel sangue covid	conosco solo gravi problemi salute alterazioni sistema nervoso stravolgimento valori sangue covid
807	Frajese: vi rendete conto? casa farmaceutica dimostra che il rischio di morte cardiovascolare è 4 volte sup. ai NON vax! se questo dato fosse uscito NESSUNO si sarebbe mai vaccinato.Dicono che è testato su MLD di persone e OGGI sappiamo che sono 4 volte più a rischio di morte?? https://t.co/BMpXdrHE8v	1.0	1.0	2023-09-08 16:44	frajese vi rendete conto casa farmaceutica dimostra che il rischio di moe cardiovascolare è  volte sup ai non vax  se questo dato fosse uscito nessuno si sarebbe mai vaccinatodicono che è testato su mld di persone e oggi sappiamo che sono  volte più a rischio di moe 	vaccinato	frajese vi rendete conto casa farmaceutica dimostra che il rischio di moe cardiovascolare è  volte sup ai non vax  se questo dato fosse uscito nessuno si sarebbe mai dicono che è testato su mld di persone e oggi sappiamo che sono  volte più a rischio di moe 	frajese rendete conto casa farmaceutica dimostra rischio moe cardiovascolare volte sup vax dato uscito nessuno mai dicono testato mld persone oggi sappiamo volte rischio moe
819	La cosa che mi fa ridere (riflettere no, perché non vale la pena) è che sto prendendo insulti dai novax senza averli neanche chiamati in causa.Perché obiettivamente non ho idea se il tipo sia vaccinato o meno.Analfabetismo funzionale level pro.	1.0	0.0	2023-09-08 19:19	la cosa che mi fa ridere riflettere no perché non vale la pena è che sto prendendo insulti dai novax senza averli neanche chiamati in causaperché obiettivamente non ho idea se il tipo sia vaccinato o menoanalfabetismo funzionale level pro	vaccinato	la cosa che mi fa ridere riflettere no perché non vale la pena è che sto prendendo insulti dai novax senza averli neanche chiamati in causaperché obiettivamente non ho idea se il tipo sia  o menoanalfabetismo funzionale level pro	cosa fa ridere riflettere no vale pena prendendo insulti novax senza averli neanche chiamati causaperché obiettivamente idea tipo menoanalfabetismo funzionale level pro
820	@WRicciardi Ho una domanda. Ma Lei ha letto gli ultimi post del Prof. Silvestri? Il miglior Prof.  In circolazione che fin dal gen. 2022 ha perfettamente descritto l'evoluzione della malattia. Lo dico da pluri vaccinato ed attento alle normali precauzioni da prendere.	1.0	0.0	2023-09-08 19:38	 ho una domanda ma lei ha letto gli ultimi post del prof silvestri il miglior prof  in circolazione che fin dal gen  ha perfettamente descritto levoluzione della malattia lo dico da pluri vaccinato ed attento alle normali precauzioni da prendere	vaccinato	 ho una domanda ma lei ha letto gli ultimi post del prof silvestri il miglior prof  in circolazione che fin dal gen  ha perfettamente descritto levoluzione della malattia lo dico da pluri  ed attento alle normali precauzioni da prendere	domanda letto ultimi post prof silvestri miglior prof circolazione fin gen perfettamente descritto levoluzione malattia dico pluri attento normali precauzioni prendere
825	#Covid Piano piano sta tornando e in una nuova variante, chi si è vaccinato e un po' più protetto però bisogna fare attenzione però questo governo sta facendo finta di nulla	1.0	0.0	2023-09-08 20:38	covid piano piano sta tornando e in una nuova variante chi si è vaccinato e un po più protetto però bisogna fare attenzione però questo governo sta facendo finta di nulla	vaccinato	covid piano piano sta tornando e in una nuova variante chi si è  e un po più protetto però bisogna fare attenzione però questo governo sta facendo finta di nulla	covid piano piano tornando nuova variante po protetto però bisogna fare attenzione però governo finta nulla
838	Scusate politici e dottori del covid che dicevate che i non vaxccinati sarebbero morti: ma #Djokovic vince dal Paradiso? ...no, no!È in america, quindi non è morto!Cari dottori e politici del covid, mi dispiace, ma vi siete sbagliati! E chi non si vaccinato vive e anche meglio	1.0	1.0	2023-09-08 22:10	scusate politici e dottori del covid che dicevate che i non vax cinati sarebbero moi ma djokovic vince dal paradiso no noè in america quindi non è moocari dottori e politici del covid  mi dispiace ma vi siete sbagliati e chi non si vaccinato vive e anche meglio	vaccinato	scusate politici e dottori del covid che dicevate che i non vax cinati sarebbero moi ma djokovic vince dal paradiso no noè in america quindi non è moocari dottori e politici del covid  mi dispiace ma vi siete sbagliati e chi non si  vive e anche meglio	scusate politici dottori covid dicevate vax cinati moi djokovic vince paradiso no noè america quindi moocari dottori politici covid dispiace sbagliati vive meglio
839	ASSURDOAffermano () che ci sono migliaia di casi di COVID in uno Stato, l'Italia) che ha vaccinato più del 90% della popolazione per proteggerla dal COVID stesso.Farebbe ridere in un mondo normale.Non ha funzionato e non funzionerà MAI.	1.0	1.0	2023-09-08 22:11	assurdoaffermano  che ci sono migliaia di casi di covid in uno stato litalia che ha vaccinato più del  della popolazione per proteggerla dal covid stessofarebbe ridere in un mondo normalenon ha funzionato e non funzionerà mai	vaccinato	assurdoaffermano  che ci sono migliaia di casi di covid in uno stato litalia che ha  più del  della popolazione per proteggerla dal covid stessofarebbe ridere in un mondo normalenon ha funzionato e non funzionerà mai	assurdoaffermano migliaia casi covid stato litalia popolazione proteggerla covid stessofarebbe ridere mondo normalenon funzionato funzionerà mai
990	??CLAMOROSO! ????13 scienziati scoprono dai documenti Pfizer la più GROSSA FRODE DI TUTTA LA STORIA: La maggior parte del gruppo di controllo placebo è stato vaccinato con sieri COVID! ?Pfizer-BioNTech ha segretamente somministrato ad  alcuni dei membri del suo gruppo di https://t.co/40yQsLDhUr	1.0	0.0	2023-09-09 10:45	clamoroso  scienziati scoprono dai documenti pfizer la più grossa frode di tutta la storia la maggior pae del gruppo di controllo placebo è stato vaccinato con sieri covid  pfizerbiontech ha segretamente somministrato ad  alcuni dei membri del suo gruppo di 	vaccinato	clamoroso  scienziati scoprono dai documenti pfizer la più grossa frode di tutta la storia la maggior pae del gruppo di controllo placebo è stato  con sieri covid  pfizerbiontech ha segretamente somministrato ad  alcuni dei membri del suo gruppo di 	clamoroso scienziati scoprono documenti pfizer grossa frode tutta storia maggior pae gruppo controllo placebo stato sieri covid pfizerbiontech segretamente somministrato alcuni membri gruppo
1027	Finale US Open 2023.Un serbo non vaccinato contro un atleta colpevole di essere russo.La nuova sfida è tra due discriminati.I VINCENTI SONO DUE DISCRIMINATI.#USOpen2023 https://t.co/WfxA6eYCuN	1.0	0.0	2023-09-09 12:11	finale us open un serbo non vaccinato contro un atleta colpevole di essere russola nuova sfida è tra due discriminatii vincenti sono due discriminatiusopen 	vaccinato	finale us open un serbo non  contro un atleta colpevole di essere russola nuova sfida è tra due discriminatii vincenti sono due discriminatiusopen 	finale us open serbo atleta colpevole essere russola nuova sfida due discriminatii vincenti due discriminatiusopen
1210	Un russo e un non vaccinato in finale a casa yankee #Djokovic #Medvedev https://t.co/oh2udgPqfC	1.0	0.0	2023-09-09 20:11	un russo e un non vaccinato in finale a casa yankee djokovic medvedev 	vaccinato	un russo e un non  in finale a casa yankee djokovic medvedev 	russo finale casa yankee djokovic medvedev
1271	US Open negli USA, Nazione  più imperialista al mondo. Sponsor MODERNA, produttore di vaccini.Al primo posto, un russo o un non vaccinato.Sarà un successo per le genti libere e una sconfitta per i servi.Ma noi siamo persone equilibrate e sobrie, rimarremo composti e moderati. https://t.co/QKqRjR4IFN	1.0	0.0	2023-09-09 23:50	us open negli usa nazione  più imperialista al mondo sponsor moderna produttore di vaccinial primo posto un russo o un non vaccinatosarà un successo per le genti libere e una sconfitta per i servima noi siamo persone equilibrate e sobrie rimarremo composti e moderati 	vaccinato	us open negli usa nazione  più imperialista al mondo sponsor moderna produttore di vaccinial primo posto un russo o un non sarà un successo per le genti libere e una sconfitta per i servima noi siamo persone equilibrate e sobrie rimarremo composti e moderati 	us open usa nazione imperialista mondo sponsor moderna produttore vaccinial primo posto russo successo genti libere sconfitta servima persone equilibrate sobrie rimarremo composti moderati
1310	Finale US Open 2023.Un serbo non vaccinato contro un atleta colpevole di essere russo.La nuova sfida è tra due discriminati.I VINCENTI SONO DUE DISCRIMINATI.	1.0	0.0	2023-09-10 5:38	finale us open un serbo non vaccinato contro un atleta colpevole di essere russola nuova sfida è tra due discriminatii vincenti sono due discriminati	vaccinato	finale us open un serbo non  contro un atleta colpevole di essere russola nuova sfida è tra due discriminatii vincenti sono due discriminati	finale us open serbo atleta colpevole essere russola nuova sfida due discriminatii vincenti due discriminati
1366	"Capolavoro di Open: ""Borghi pubblicizza una iniziativa no vax"" (* ovvero un convegno sulle persone danneggiate dal vaccino) Quindi per ""no vax"" si intende chiunque, anche vaccinato, osi lamentarsi del trattamento miracolosohttps://t.co/Y1nBnxRIK2"	1.0	0.0	2023-09-10 9:07	capolavoro di open borghi pubblicizza una iniziativa no vax   ovvero un convegno sulle persone danneggiate dal vaccino quindi per no vax  si intende chiunque anche vaccinato osi lamentarsi del trattamento miracoloso	vaccinato	capolavoro di open borghi pubblicizza una iniziativa no vax   ovvero un convegno sulle persone danneggiate dal vaccino quindi per no vax  si intende chiunque anche  osi lamentarsi del trattamento miracoloso	capolavoro open borghi pubblicizza iniziativa no vax ovvero convegno persone danneggiate vaccino quindi no vax intende chiunque osi lamentarsi trattamento miracoloso
1409	Nella passata emergenza ho fatto tutto quello che lo #Stato mi ha ordinato: mi sono #vaccinato convintamente; ho indossato quelle fottute #mascherine anche nel cesso di casa mia; sono rimasto in casa quando mi hanno obbligato a farlo. Questa volta mi faccio arrestare.#Covid	1.0	0.0	2023-09-10 12:53	nella passata emergenza ho fatto tutto quello che lo stato mi ha ordinato mi sono vaccinato convintamente ho indossato quelle fottute mascherine anche nel cesso di casa mia sono rimasto in casa quando mi hanno obbligato a farlo questa volta mi faccio arrestarecovid	vaccinato	nella passata emergenza ho fatto tutto quello che lo stato mi ha ordinato mi sono  convintamente ho indossato quelle fottute mascherine anche nel cesso di casa mia sono rimasto in casa quando mi hanno obbligato a farlo questa volta mi faccio arrestarecovid	passata emergenza fatto stato ordinato convintamente indossato fottute mascherine cesso casa rimasto casa quando obbligato farlo volta arrestarecovid
1453	Chiedo una cosa ai non vaccinati, non scrivo novax perché mi da fastidio, pensate interessi a qualche vaccinato il vostro parere?	1.0	0.0	2023-09-10 20:32	chiedo una cosa ai non vaccinati non scrivo novax perché mi da fastidio pensate interessi a qualche vaccinato il vostro parere	vaccinato	chiedo una cosa ai non vaccinati non scrivo novax perché mi da fastidio pensate interessi a qualche  il vostro parere	chiedo cosa vaccinati scrivo novax fastidio pensate interessi qualche parere
1480	@RobertoBurioni XXIV SLAM PER @DiokerNole_pvt . Burioni non parla più! P.S.: io sono vaccinato. Ma non stupido. https://t.co/IULOxVjzQD	1.0	0.0	2023-09-10 23:40	 xxiv slam per   burioni non parla più ps io sono vaccinato ma non stupido 	vaccinato	 xxiv slam per   burioni non parla più ps io sono  ma non stupido 	xxiv slam burioni parla ps stupido
1481	Ditelo a Burioni Bassetti e a tutti i ciarlatani che @DjokerNole  non si è vaccinato, non è morto ed ha vinto un altro torneo dello slam! #tennis #campione #numerouno	1.0	1.0	2023-09-10 23:47	ditelo a burioni bassetti e a tutti i ciarlatani che   non si è vaccinato non è moo ed ha vinto un altro torneo dello slam tennis campione numerouno	vaccinato	ditelo a burioni bassetti e a tutti i ciarlatani che   non si è  non è moo ed ha vinto un altro torneo dello slam tennis campione numerouno	ditelo burioni bassetti ciarlatani moo vinto altro torneo slam tennis campione numerouno
1482	#Djokovic un defunto ( in quanto non vaccinato ) che vince 3 slam su 4 è sicuramente opera del demonio Vade retro Satana , Madonnina proteggici https://t.co/1mR1SLaCbm	1.0	0.0	2023-09-10 23:55	djokovic un defunto  in quanto non vaccinato  che vince  slam su  è sicuramente opera del demonio vade retro satana  madonnina proteggici 	vaccinato	djokovic un defunto  in quanto non   che vince  slam su  è sicuramente opera del demonio vade retro satana  madonnina proteggici 	djokovic defunto vince slam sicuramente opera demonio vade retro satana madonnina proteggici
0	"RT @Wondercri1982: ""Il Covid è stato un omicidio premeditato e la vaccinazione non è immunizzazione: è sterminio""- Dottoressa Judy Mikovits https://t.co/Cpz1PzPLwf"	1.0	1.0	2023-08-31 9:47	  il covid è stato un omicidio premeditato e la vaccinazione non è immunizzazione è sterminio dottoressa judy mikovits 	immunizzazione	  il covid è stato un omicidio premeditato e la vaccinazione non è  è sterminio dottoressa judy mikovits 	covid stato omicidio premeditato vaccinazione sterminio dottoressa judy mikovits
5	RT @Wondercri1982: Gli Stati Uniti riceveranno un nuovo vaccino anti-Covid? Ecco l'audace piano del presidente Joe Biden per l'immunizzazione obbligatoria - The Economic Timeshttps://t.co/Xxc4ONX0fO	1.0	0.0	2023-08-31 10:46	  gli stati uniti riceveranno un nuovo vaccino anticovid  ecco laudace piano del presidente joe biden per limmunizzazione obbligatoria  the economic times	immunizzazione	  gli stati uniti riceveranno un nuovo vaccino anticovid  ecco laudace piano del presidente joe biden per l obbligatoria  the economic times	stati uniti riceveranno nuovo vaccino anticovid ecco laudace piano presidente joe biden obbligatoria the economic times
57	#Covid, #ChatGPT «alleato» dei pazienti contro le #FakeNews sulla sicurezza dei #vaccini (e altri falsi miti) https://t.co/hNtNRThkLW	1.0	1.0	2023-09-05 6:15	covid  chatgpt alleato dei pazienti contro le fakenews sulla sicurezza dei vaccini e altri falsi miti 	immunizzazione	covid  chatgpt alleato dei pazienti contro le fakenews sulla sicurezza dei vaccini e altri falsi miti 	covid chatgpt alleato pazienti fakenews sicurezza vaccini altri falsi miti
58	Covid, ChatGPT «fonte affidabile» di informazioni sulla sicurezza dei vaccini (e non solo) https://t.co/9IulxVvrsH	1.0	1.0	2023-09-05 15:42	covid  chatgpt fonte affidabile di informazioni sulla sicurezza dei vaccini e non solo 	immunizzazione	covid  chatgpt fonte affidabile di informazioni sulla sicurezza dei vaccini e non solo 	covid chatgpt fonte affidabile informazioni sicurezza vaccini solo
59	@LBasemi i vaccini per la banale INFLUENZAci sono da 70 anni 70 ...immunizzazione ancora assente??	1.0	0.0	2023-09-06 16:10	 i vaccini per la banale influenzaci sono da  anni  immunizzazione ancora assente	immunizzazione	 i vaccini per la banale influenzaci sono da  anni   ancora assente	vaccini banale influenzaci anni ancora assente
60	"RT @brotto_marco: 27.Parte 2  Bill Gates Programma di spopolamento &amp; Eugenetica Frontman  Il CEO di GAVI, Jeff Berkley, afferma: ""L'obiettivo è che l'immunizzazione al 100% non sarà raggiunta fino a quando l'identificazione digitale sicura non sarà completamente implementata"" A cui GAVI è https://t.co/yV1Cw2DbPR"	1.0	0.0	2023-09-08 21:12	  pae   bill gates programma di spopolamento  eugenetica frontman  il ceo di gavi jeff berkley afferma lobiettivo è che limmunizzazione al  non sarà raggiunta fino a quando lidentificazione digitale sicura non sarà completamente implementata a cui gavi è 	immunizzazione	  pae   bill gates programma di spopolamento  eugenetica frontman  il ceo di gavi jeff berkley afferma lobiettivo è che l al  non sarà raggiunta fino a quando lidentificazione digitale sicura non sarà completamente implementata a cui gavi è 	pae bill gates programma spopolamento eugenetica frontman ceo gavi jeff berkley afferma lobiettivo raggiunta fino quando lidentificazione digitale sicura completamente implementata gavi
