	Content	Vaccine content	Vaccine safety	date	text_clean	Filter	text_wo_filter_word
181	@GioCallisto @RastaRegola Attenzione ai non vaccinati, vi posso vaccinare con lo sguardo, stretta di mano, passando accanto....in fondo ecco la pozione https://t.co/8d2trxJAvT	1.0	0.0	2023-09-05 10:16	  attenzione ai non vaccinati vi posso vaccinare con lo sguardo stretta di mano passando accantoin fondo ecco la pozione 	vaccinare	  attenzione ai non vaccinati vi posso  con lo sguardo stretta di mano passando accantoin fondo ecco la pozione 
200	@RastaRegola @DonnaChiarae Attenzione pozione magica per vaccinare i non vaccinati basta solo: stringere mano, occhiata, pacca sulle spalle, passare accanto, il gioco è fatto! Ed è un GOMBLOTTO tenuto nascosto, la scienzah malefica https://t.co/BsR65J13Mb	1.0	0.0	2023-09-05 13:59	  attenzione pozione magica per vaccinare i non vaccinati basta solo stringere mano occhiata pacca sulle spalle passare accanto il gioco è fatto ed è un gomblotto tenuto nascosto la scienzah malefica 	vaccinare	  attenzione pozione magica per  i non vaccinati basta solo stringere mano occhiata pacca sulle spalle passare accanto il gioco è fatto ed è un gomblotto tenuto nascosto la scienzah malefica 
206	@joecuce Non ho un profilo falso...ho una foto con nome e cognome.Mio padre è un militare e ho una famiglia rispettabile, ho tutti i vaccini e ho fatto vaccinare i miei figli... cortesemente la finite con la propaganda novax e cominciate a distinguere il vero dal falso.	1.0	0.0	2023-09-05 15:21	 non ho un profilo falsoho una foto con nome e cognomemio padre è un militare e ho una famiglia rispettabile ho tutti i vaccini e ho fatto vaccinare i miei figli coesemente la finite con la propaganda novax e cominciate a distinguere il vero dal falso	vaccinare	 non ho un profilo falsoho una foto con nome e cognomemio padre è un militare e ho una famiglia rispettabile ho tutti i vaccini e ho fatto  i miei figli coesemente la finite con la propaganda novax e cominciate a distinguere il vero dal falso
214	@pregiato3 Nella mia vita ho fatto tutti i vaccini e ho fatto vaccinare i miei figli...dopo la reazione di mio padre ero molto indecisa poi è iniziata la propaganda novax, poi le discriminazioni e ho detto tiè!!!	1.0	0.0	2023-09-05 17:52	 nella mia vita ho fatto tutti i vaccini e ho fatto vaccinare i miei figlidopo la reazione di mio padre ero molto indecisa poi è iniziata la propaganda novax  poi le discriminazioni e ho detto tiè	vaccinare	 nella mia vita ho fatto tutti i vaccini e ho fatto  i miei figlidopo la reazione di mio padre ero molto indecisa poi è iniziata la propaganda novax  poi le discriminazioni e ho detto tiè
225	@usaipiero Ricordiamolo per le primule inutili di plastica per vaccinare da 400000 l'una che voleva disseminare per l'Italia. Sceeemosceeeemosceeeemo	1.0	0.0	2023-09-05 21:10	 ricordiamolo per le primule inutili di plastica per vaccinare da  luna che voleva disseminare per litalia sceeemosceeeemosceeeemo	vaccinare	 ricordiamolo per le primule inutili di plastica per  da  luna che voleva disseminare per litalia sceeemosceeeemosceeeemo
242	@GeneraleSalazar @The_Last_Gasp Durante una pandemia non si vaccina ma i miliardi in Europa mandati dalle industrie farmaceutiche usa sono stati e sono tantissimi per cui hanno e stanno continuando a vaccinare facendo mutare il virus ,quest'europa è da smantellare completamente ,è marcia e corrotta	1.0	0.0	2023-09-06 6:47	  durante una pandemia non si vaccina ma i miliardi in europa mandati dalle industrie farmaceutiche usa sono stati e sono tantissimi per cui hanno e stanno continuando a vaccinare facendo mutare il virus questeuropa è da smantellare completamente è marcia e corrotta	vaccinare	  durante una pandemia non si vaccina ma i miliardi in europa mandati dalle industrie farmaceutiche usa sono stati e sono tantissimi per cui hanno e stanno continuando a  facendo mutare il virus questeuropa è da smantellare completamente è marcia e corrotta
248	@donata_vigoni Guardi questi idioti...con questa propaganda...hanno fatto diventare gente moderata come me...una che non farebbe vaccinare neanche un gatto...ho detto tutto!!!	1.0	0.0	2023-09-06 7:31	 guardi questi idioticon questa propagandahanno fatto diventare gente moderata come meuna che non farebbe vaccinare neanche un gattoho detto tutto	vaccinare	 guardi questi idioticon questa propagandahanno fatto diventare gente moderata come meuna che non farebbe  neanche un gattoho detto tutto
250	"@GiulioMarini2 @Robertonuzzoam Le allevano anche in Italia (quelle per ""vaccinare"" gli umani contro la malaria), non ricordo dove, progetto e laboratorio diretto da Crisanti"	1.0	0.0	2023-09-06 7:52	  le allevano anche in italia quelle per vaccinare gli umani contro la malaria non ricordo dove progetto e laboratorio diretto da crisanti	vaccinare	  le allevano anche in italia quelle per  gli umani contro la malaria non ricordo dove progetto e laboratorio diretto da crisanti
251	@donecadmetam Forse perché abbiamo parenti con reazioni avverse...poi novax a chi?Ho fatto vaccinare i miei figli da piccoli... propagandisti idioti!	1.0	1.0	2023-09-06 8:20	 forse perché abbiamo parenti con reazioni avversepoi novax a chiho fatto vaccinare i miei figli da piccoli propagandisti idioti	vaccinare	 forse perché abbiamo parenti con reazioni avversepoi novax a chiho fatto  i miei figli da piccoli propagandisti idioti
254	@Lulu_larossa Buongiorno Luisa,molte volte sembra parlare al vento,chi si vuole vaccinare lo facesse pure.Io non schiodo dalla mia decisione di non fare nessun tipo di poltiglia.	1.0	0.0	2023-09-06 9:27	 buongiorno luisamolte volte sembra parlare al ventochi si vuole vaccinare lo facesse pureio non schiodo dalla mia decisione di non fare nessun tipo di poltiglia	vaccinare	 buongiorno luisamolte volte sembra parlare al ventochi si vuole  lo facesse pureio non schiodo dalla mia decisione di non fare nessun tipo di poltiglia
259	@SkyTG24 I genitori che fanno vaccinare i bambini per l'influenza sono degli idioti, lobotomizzati, privi di spirito critico	1.0	0.0	2023-09-06 12:05	 i genitori che fanno vaccinare i bambini per linfluenza sono degli idioti lobotomizzati privi di spirito critico	vaccinare	 i genitori che fanno  i bambini per linfluenza sono degli idioti lobotomizzati privi di spirito critico
265	@Erinni15 @LaVeritaWeb la gente si è andata a vaccinare per un panino e un gelato.. pensi davvero che per 800 euro questi non si farebbero amputare un arto?	1.0	0.0	2023-09-06 13:10	  la gente si è andata a vaccinare per un panino e un gelato pensi davvero che per 8 euro questi non si farebbero amputare un ao	vaccinare	  la gente si è andata a  per un panino e un gelato pensi davvero che per 8 euro questi non si farebbero amputare un ao
266	MA NON CE L'OBBLIGO DELLO SPORCO RICATTATORE COME LA VOLTA SCORSA, QUINDI OGNUNO SARÀ COMPLETAMENTE RESPONSABILE DI QUELLO CHE GLI DIRÀ LA TESTA..Riparte la caccia ai «fragili» over60 e donne in gravidanza da vaccinare https://t.co/61vd7h1tcP	1.0	0.0	2023-09-06 13:34	ma non ce lobbligo dello sporco ricattatore come la volta scorsa quindi ognuno sarà completamente responsabile di quello che gli dirà la testaripae la caccia ai fragili over e donne in gravidanza da vaccinare 	vaccinare	ma non ce lobbligo dello sporco ricattatore come la volta scorsa quindi ognuno sarà completamente responsabile di quello che gli dirà la testaripae la caccia ai fragili over e donne in gravidanza da  
274	@silvia_spataro @ElideBellardin1 @axe_xx_ Spiegazione inutile. Tanta gente rimane ceca, basta pensare a quelli che si vogliono ancora vaccinare oggi. Triste.	1.0	0.0	2023-09-06 18:27	   spiegazione inutile tanta gente rimane ceca basta pensare a quelli che si vogliono ancora vaccinare oggi triste	vaccinare	   spiegazione inutile tanta gente rimane ceca basta pensare a quelli che si vogliono ancora  oggi triste
286	@diodemonio1 @Gianpa89267191 ma le primule di plastica per vaccinare da 400000 me le sono sognate? Solo io ne scrivo di quelle puttanate da disseminare per il Paese bloccate da Mario Draghi? Ma siete smemorati o lo fate apposta?	1.0	0.0	2023-09-06 21:28	  ma le primule di plastica per vaccinare da  me le sono sognate solo io ne scrivo di quelle puttanate da disseminare per il paese bloccate da mario draghi ma siete smemorati o lo fate apposta	vaccinare	  ma le primule di plastica per  da  me le sono sognate solo io ne scrivo di quelle puttanate da disseminare per il paese bloccate da mario draghi ma siete smemorati o lo fate apposta
292	"@itsmeback_ Il servizio sanitario composto di sanitari che discriminavano chi non voleva fare da cavia e si assentava dallo studio medico per andare a ""vaccinare"" in ospedale col farmaco genico vietato da Norimberga e oscurato dagli effetti avversi col #segretomilitare ? #armabiologica ??"	1.0	0.0	2023-09-07 3:53	 il servizio sanitario composto di sanitari che discriminavano chi non voleva fare da cavia e si assentava dallo studio medico per andare a vaccinare in ospedale col farmaco genico vietato da norimberga e oscurato dagli effetti avversi col segretomilitare  armabiologica 	vaccinare	 il servizio sanitario composto di sanitari che discriminavano chi non voleva fare da cavia e si assentava dallo studio medico per andare a  in ospedale col farmaco genico vietato da norimberga e oscurato dagli effetti avversi col segretomilitare  armabiologica 
297	@RealGossipland Quanti si sono dovuti vaccinare x non perdere lavoro e stipendio??? Lui fa il giornalista e va in video, le alternative quali erano perdere il programma e la redazione??	1.0	0.0	2023-09-07 8:11	 quanti si sono dovuti vaccinare x non perdere lavoro e stipendio lui fa il giornalista e va in video le alternative quali erano perdere il programma e la redazione	vaccinare	 quanti si sono dovuti  x non perdere lavoro e stipendio lui fa il giornalista e va in video le alternative quali erano perdere il programma e la redazione
298	@barbyblanche Questo è da fucilare per come ha venduto gli italiani e la povera gente facendola vaccinare e ammalare per poi morire di miocardite.	1.0	1.0	2023-09-07 8:34	 questo è da fucilare per come ha venduto gli italiani e la povera gente facendola vaccinare e ammalare per poi morire di miocardite	vaccinare	 questo è da fucilare per come ha venduto gli italiani e la povera gente facendola  e ammalare per poi morire di miocardite
299	@Teresatherry0 chi vorrebbe ammettere di essere causa del suo mal? Di essere un mona?Immagina i genitori che hanno fatto vaccinare i ragazzini!	1.0	0.0	2023-09-07 8:40	 chi vorrebbe ammettere di essere causa del suo mal di essere un monaimmagina i genitori che hanno fatto vaccinare i ragazzini	vaccinare	 chi vorrebbe ammettere di essere causa del suo mal di essere un monaimmagina i genitori che hanno fatto  i ragazzini
302	@AuroraLittleSun È un infame e sa di esserlo, lui sa benissimo che i vaccini hanno invalidato e ammazzato molte delle persone che si sono fatte vaccinare, fiduciose.....??	1.0	1.0	2023-09-07 9:39	 è un infame e sa di esserlo lui sa benissimo che i vaccini hanno invalidato e ammazzato molte delle persone che si sono fatte vaccinare fiduciose	vaccinare	 è un infame e sa di esserlo lui sa benissimo che i vaccini hanno invalidato e ammazzato molte delle persone che si sono fatte  fiduciose
306	@rita98129439 @rtl1025 E chissene fotte, anzi fai una roba mettiti subito la mascherina e catti a vaccinare	1.0	0.0	2023-09-07 11:29	  e chissene fotte anzi fai una roba mettiti subito la mascherina e catti a vaccinare	vaccinare	  e chissene fotte anzi fai una roba mettiti subito la mascherina e catti a 
307	@MGiavari25968 @rtl1025 È finita la pandemia, siete riamsti nel 2020 fenomeni.Fai una cosa, mettiti subito la mascherina e vatti a vaccinare. VELOCE	1.0	0.0	2023-09-07 11:30	  è finita la pandemia siete riamsti nel  fenomenifai una cosa mettiti subito la mascherina e vatti a vaccinare veloce	vaccinare	  è finita la pandemia siete riamsti nel  fenomenifai una cosa mettiti subito la mascherina e vatti a  veloce
310	@radiosilvana @Frank_Cipo @AncheNo123 @YanezPeter @LorenzoAppleton @matt7gh De coccio mi pare lei.A lei appassiona la dicotomia vaccinati e non vaccinati creata ad arte per distogliere dalla pessima gestione pandemica. In Italia.A me no.Chi si vuole vaccinare per ridurre il rischio potenziale di un covid grave lo faccia.Ha tutta la mia stima.Chi no pure.	1.0	0.0	2023-09-07 12:07	      de coccio mi pare leia lei appassiona la dicotomia vaccinati e non vaccinati creata ad ae per distogliere dalla pessima gestione pandemica in italiaa me nochi si vuole vaccinare per ridurre il rischio potenziale di un covid grave lo facciaha tutta la mia stimachi no pure	vaccinare	      de coccio mi pare leia lei appassiona la dicotomia vaccinati e non vaccinati creata ad ae per distogliere dalla pessima gestione pandemica in italiaa me nochi si vuole  per ridurre il rischio potenziale di un covid grave lo facciaha tutta la mia stimachi no pure
317	@DjLouvre6887 @NessunoJl @Eurosport_IT Un'ultima cosa, VATTI SUBITO A VACCINARE E A METTERE LA MASCHERINA POI VAI IN BACONE E METTI LA BANDIERA ARCOBALENO CON LA BANDIERA DELLA MERDAINA. MUOVITI	1.0	0.0	2023-09-07 14:34	   unultima cosa vatti subito a vaccinare e a mettere la mascherina poi vai in bacone e metti la bandiera arcobaleno con la bandiera della merdaina muoviti	vaccinare	   unultima cosa vatti subito a  e a mettere la mascherina poi vai in bacone e metti la bandiera arcobaleno con la bandiera della merdaina muoviti
341	@DubbiAbbi Bene. Si devono vaccinare tutti. Mica si diventa novacs così facilmente.Io nel club non ce li voglio.	1.0	0.0	2023-09-07 18:53	 bene si devono vaccinare tutti mica si diventa novacs così facilmenteio nel club non ce li voglio	vaccinare	 bene si devono  tutti mica si diventa novacs così facilmenteio nel club non ce li voglio
362	"Due ""casi"" di Dengue a Castiglione d'Adda, e parte subito lo screening della popolazione per trovare altri infetti.PS: Se questi oggi fanno la fila per vedere se sono stati infettati da una zanzara immaginate domani quando gli diranno che si devono ""Vaccinare per non infettarsi"" https://t.co/eINFK0fCDT"	1.0	0.0	2023-09-07 21:42	due casi di dengue a castiglione dadda e pae subito lo screening della popolazione per trovare altri infettips se questi oggi fanno la fila per vedere se sono stati infettati da una zanzara immaginate domani quando gli diranno che si devono vaccinare per non infettarsi 	vaccinare	due casi di dengue a castiglione dadda e pae subito lo screening della popolazione per trovare altri infettips se questi oggi fanno la fila per vedere se sono stati infettati da una zanzara immaginate domani quando gli diranno che si devono  per non infettarsi 
374	@caio_crypto @RobertoBurioni @borghi_claudio Ovviamente non sai un cazzo,Camilla si è voluta vaccinare nascondendo la patologia da cui era affetta e,inoltre, il giorno dopo ha assunto steroidi,praticamente si è suicidata.	1.0	0.0	2023-09-08 5:14	   ovviamente non sai un cazzocamilla si è voluta vaccinare nascondendo la patologia da cui era affetta einoltre il giorno dopo ha assunto steroidipraticamente si è suicidata	vaccinare	   ovviamente non sai un cazzocamilla si è voluta  nascondendo la patologia da cui era affetta einoltre il giorno dopo ha assunto steroidipraticamente si è suicidata
379	@barbarab1974 @Quirinale Hanno fatto vaccinare donne gravide, in letteratura non esiste.	1.0	0.0	2023-09-08 6:00	  hanno fatto vaccinare donne gravide in letteratura non esiste	vaccinare	  hanno fatto  donne gravide in letteratura non esiste
387	@AlfBianchi Si, ovvio che si sapeva, come si sapeva che per vaccinare un gatto serve lo ship obbligatorio, un altro tipo di SuperGreenPass.	1.0	0.0	2023-09-08 6:54	 si ovvio che si sapeva come si sapeva che per vaccinare un gatto serve lo ship obbligatorio un altro tipo di supergreenpass	vaccinare	 si ovvio che si sapeva come si sapeva che per  un gatto serve lo ship obbligatorio un altro tipo di supergreenpass
392	@Valery4029 Si sono voluti vaccinare per continuare la loro vita senza rotture d coglioni e avere il greenpass... E ora il vaccino gli impedisce di lavorare... Il male voluto non mai troppo.	1.0	1.0	2023-09-08 7:55	 si sono voluti vaccinare per continuare la loro vita senza rotture d coglioni e avere il greenpass e ora il vaccino gli impedisce di lavorare il male voluto non mai troppo	vaccinare	 si sono voluti  per continuare la loro vita senza rotture d coglioni e avere il greenpass e ora il vaccino gli impedisce di lavorare il male voluto non mai troppo
396	"@SabatierJeanMa1 Ci sono parecchi ""topi"" pronti a farsi vaccinare..."	1.0	0.0	2023-09-08 10:31	 ci sono parecchi topi pronti a farsi vaccinare	vaccinare	 ci sono parecchi topi pronti a farsi 
397	Sono scomparsi dalla cronaca i malori improvvisi.Sono stati sostituiti da incidenti con automobili protagoniste. Molto più allineati all'indicazione mainstream.Andremo a piedi, pedinati da arcobaleni gay che ci dicono che ci dobbiamo vaccinare senza uscire di casa.	1.0	1.0	2023-09-08 10:45	sono scomparsi dalla cronaca i malori improvvisisono stati sostituiti da incidenti con automobili protagoniste molto più allineati allindicazione mainstreamandremo a piedi pedinati da arcobaleni gay che ci dicono che ci dobbiamo vaccinare senza uscire di casa	vaccinare	sono scomparsi dalla cronaca i malori improvvisisono stati sostituiti da incidenti con automobili protagoniste molto più allineati allindicazione mainstreamandremo a piedi pedinati da arcobaleni gay che ci dicono che ci dobbiamo  senza uscire di casa
402	@FmMosca @intuslegens Io non credo che abbiano paura perché vedo in giro persone ancora con le mascherine e, da quel che sento, hanno paura della nuova variante e sono disposti a farsi vaccinare.??	1.0	0.0	2023-09-08 11:31	  io non credo che abbiano paura perché vedo in giro persone ancora con le mascherine e da quel che sento hanno paura della nuova variante e sono disposti a farsi vaccinare	vaccinare	  io non credo che abbiano paura perché vedo in giro persone ancora con le mascherine e da quel che sento hanno paura della nuova variante e sono disposti a farsi 
407	@RaiNews Io questo anno ho preso Covid e influenza....con l'influenza sono stato peggio....Cmq negli USA c'è un amento del 43% nella fasce adolescenziale con malori improvvisi....Noi come stiamo messi? COme stanno i nostri bambini che avete voluto vaccinare con quella  roba?#Pfizer	1.0	1.0	2023-09-08 14:21	 io questo anno ho preso covid e influenzacon linfluenza sono stato peggiocmq negli usa cè un amento del  nella fasce adolescenziale con malori improvvisinoi come stiamo messi come stanno i nostri bambini che avete voluto vaccinare con quella  robapfizer	vaccinare	 io questo anno ho preso covid e influenzacon linfluenza sono stato peggiocmq negli usa cè un amento del  nella fasce adolescenziale con malori improvvisinoi come stiamo messi come stanno i nostri bambini che avete voluto  con quella  robapfizer
416	@fdragoni @SoqquadroM Pensa a quanta gente si è fatta vaccinare perché lo consigliava Burioni.	1.0	0.0	2023-09-08 22:49	  pensa a quanta gente si è fatta vaccinare perché lo consigliava burioni	vaccinare	  pensa a quanta gente si è fatta  perché lo consigliava burioni
417	@Seguitemi2023 Condanna meritata per le merde che facevano finta di vaccinare. Essere culturalmente deboli non è una scusa per essere stronzi!	1.0	0.0	2023-09-08 22:59	 condanna meritata per le merde che facevano finta di vaccinare essere culturalmente deboli non è una scusa per essere stronzi	vaccinare	 condanna meritata per le merde che facevano finta di  essere culturalmente deboli non è una scusa per essere stronzi
420	@Lorenzo32843904 Xké di riesce nel credere alla sua efficacia,il vaccino,tu lo trovi efficace contro il coronavirus,x tenere sotto controllo il COVID dovresti vaccinare ogni tre mesi??????????praticamente una bomba	1.0	1.0	2023-09-09 6:28	 xké di riesce nel credere alla sua efficaciail vaccinotu lo trovi efficace contro il coronavirusx tenere sotto controllo il covid dovresti vaccinare ogni tre mesipraticamente una bomba	vaccinare	 xké di riesce nel credere alla sua efficaciail vaccinotu lo trovi efficace contro il coronavirusx tenere sotto controllo il covid dovresti  ogni tre mesipraticamente una bomba
422	"@Lorenzo32843904 leggo qui sotto un sacco di commenti ""al di al delle offese"" piaccia o no quella faccia da sberle NON PRENDE FINANZIAMENTI DALLA POLITICAa differenza dei giornali che leggete voi.comunque è bello leggervi sapendo che vi siete fatti #vaccinare da un VETERINARIO https://t.co/XaV6uT92kS"	1.0	0.0	2023-09-09 8:13	 leggo qui sotto un sacco di commenti al di al delle offese piaccia o no quella faccia da sberle non prende finanziamenti dalla politicaa differenza dei giornali che leggete voicomunque è bello leggervi sapendo che vi siete fatti vaccinare da un veterinario 	vaccinare	 leggo qui sotto un sacco di commenti al di al delle offese piaccia o no quella faccia da sberle non prende finanziamenti dalla politicaa differenza dei giornali che leggete voicomunque è bello leggervi sapendo che vi siete fatti  da un veterinario 
423	@LTelonius @carovana12 Vede chi ha un sistema immunitario debole ha paura di tutti i virus nn solo del covid e purtroppo si deve vaccinare sempre anche prima del covid questo virus purtroppo è molto cattivo x chi nn sta bene io la mascherina la porto da tanto tempo nn x il covid	1.0	0.0	2023-09-09 8:43	  vede chi ha un sistema immunitario debole ha paura di tutti i virus nn solo del covid e puroppo si deve vaccinare sempre anche prima del covid questo virus puroppo è molto cattivo x chi nn sta bene io la mascherina la poo da tanto tempo nn x il covid	vaccinare	  vede chi ha un sistema immunitario debole ha paura di tutti i virus nn solo del covid e puroppo si deve  sempre anche prima del covid questo virus puroppo è molto cattivo x chi nn sta bene io la mascherina la poo da tanto tempo nn x il covid
427	Io me lo ricordo chi cambiava marciapide se mi vedeva senza maschera.Chi mi stringeva la mano e poi si puliva nei pantaloni.Chi si rifiutava di venire in ascensore.I sorrisini degli altri genitori perché non ho fatto vaccinare mia figlia adolescente.Ricordo tutti e tutto.	1.0	0.0	2023-09-09 9:20	io me lo ricordo chi cambiava marciapide se mi vedeva senza mascherachi mi stringeva la mano e poi si puliva nei pantalonichi si rifiutava di venire in ascensorei sorrisini degli altri genitori perché non ho fatto vaccinare mia figlia adolescentericordo tutti e tutto	vaccinare	io me lo ricordo chi cambiava marciapide se mi vedeva senza mascherachi mi stringeva la mano e poi si puliva nei pantalonichi si rifiutava di venire in ascensorei sorrisini degli altri genitori perché non ho fatto  mia figlia adolescentericordo tutti e tutto
431	@a_meluzzi Merluzzi non ti vuoi vaccinare?Tanti auguri......	1.0	0.0	2023-09-09 9:48	 merluzzi non ti vuoi vaccinaretanti auguri	vaccinare	 merluzzi non ti vuoi tanti auguri
433	"Covid Italia, crescono casi e morti: varianti più diffuse, sintomi e nuove regole: (Adnkronos) - Nuove disposizione sui tamponi Covid per l'accesso ai pronto soccorso e nelle Rsa. Spallanzani: ""Vaccinare fragili e anziani"" https://t.co/rlfdsDUBws https://t.co/0PrIifIEvr"	1.0	0.0	2023-09-09 9:52	covid italia crescono casi e moi varianti più diffuse sintomi e nuove regole adnkronos  nuove disposizione sui tamponi covid per laccesso ai pronto soccorso e nelle rsa spallanzani vaccinare fragili e anziani  	vaccinare	covid italia crescono casi e moi varianti più diffuse sintomi e nuove regole adnkronos  nuove disposizione sui tamponi covid per laccesso ai pronto soccorso e nelle rsa spallanzani  fragili e anziani  
434	@CLAUDIODD5 @CiroGiugno Infatti, c'è da piangere se questa squilibrata fa finta di vaccinare mio figlio contro il tetano e mio figlio per sfiga prende il tetano cosa facciamo all'Angelo Salvatore dei bambini? Avrei come unico scopo nella vita quello di rovinarla. Figa dimostrate di non avere cervello.	1.0	0.0	2023-09-09 10:24	  infatti cè da piangere se questa squilibrata fa finta di vaccinare mio figlio contro il tetano e mio figlio per sfiga prende il tetano cosa facciamo allangelo salvatore dei bambini avrei come unico scopo nella vita quello di rovinarla figa dimostrate di non avere cervello	vaccinare	  infatti cè da piangere se questa squilibrata fa finta di  mio figlio contro il tetano e mio figlio per sfiga prende il tetano cosa facciamo allangelo salvatore dei bambini avrei come unico scopo nella vita quello di rovinarla figa dimostrate di non avere cervello
439	@CLAUDIODD5 Se vado a farmi vaccinare e scopro che il medico non me l'ha fatto, non lo denuncio, lo prendo a sprangate!	1.0	0.0	2023-09-09 10:56	 se vado a farmi vaccinare e scopro che il medico non me lha fatto non lo denuncio lo prendo a sprangate	vaccinare	 se vado a farmi  e scopro che il medico non me lha fatto non lo denuncio lo prendo a sprangate
443	#COVID19 , l'Istituto #INMISpallanzani: è importante vaccinare fragili e anzianihttps://t.co/43ARo8lV9Y - #vaccino #Salute	1.0	0.0	2023-09-09 11:07	covid   listituto inmispallanzani è impoante vaccinare fragili e anziani  vaccino salute	vaccinare	covid   listituto inmispallanzani è impoante  fragili e anziani  vaccino salute
444	Non sottovalutare il #Covid pensando che sia una #malattia ormai scomparsa e prestare particolare attenzione alle persone '#fragili' puntando su una nuova #campagna #vaccinale. E' il monito e la proposta che arrivano dai #medici #napoletani https://t.co/JMtldUy1Yj#ildenaroit	1.0	0.0	2023-09-09 11:18	non sottovalutare il covid pensando che sia una malattia ormai scomparsa e prestare paicolare attenzione alle persone fragili puntando su una nuova campagna vaccinale e il monito e la proposta che arrivano dai medici napoletani 	vaccinare	non sottovalutare il covid pensando che sia una malattia ormai scomparsa e prestare paicolare attenzione alle persone fragili puntando su una nuova campagna vaccinale e il monito e la proposta che arrivano dai medici napoletani 
453	@BelpietroTweet Vaccinare quelli della Verità, sarebbe cosa buona e giusta...Il vanvera è un dopo i pasti	1.0	0.0	2023-09-09 13:24	 vaccinare quelli della verità sarebbe cosa buona e giustail vanvera è un dopo i pasti	vaccinare	  quelli della verità sarebbe cosa buona e giustail vanvera è un dopo i pasti
459	???Il Comitato Fortitudo raccoglie lo sfogo di Lucia, a cui hanno ammazzato il marito con la seconda dose di #Moderna.@comitato?Diabetico, considerato fragile, a Maggio 2021 viene fatto 'vaccinare' sotto estorsione dagli eroi in camice, meno di un mese dopo muore solo in https://t.co/ucFojetrSO	1.0	1.0	2023-09-09 13:44	il comitato foitudo raccoglie lo sfogo di lucia a cui hanno ammazzato il marito con la seconda dose di modernadiabetico considerato fragile a maggio  viene fatto vaccinare sotto estorsione dagli eroi in camice meno di un mese dopo muore solo in 	vaccinare	il comitato foitudo raccoglie lo sfogo di lucia a cui hanno ammazzato il marito con la seconda dose di modernadiabetico considerato fragile a maggio  viene fatto  sotto estorsione dagli eroi in camice meno di un mese dopo muore solo in 
485	"IL MONITO Covid, l'allarme dei medici napoletani: ""Non è scomparso, vaccinare i fragili"" #CronacadiNapoli #UltimeNotizie #Covid #medici #succedeoggi  https://t.co/73QynIRYyV"	1.0	0.0	2023-09-09 17:10	il monito covid  lallarme dei medici napoletani non è scomparso vaccinare i fragili cronacadinapoli ultimenotizie covid medici succedeoggi  	vaccinare	il monito covid  lallarme dei medici napoletani non è scomparso  i fragili cronacadinapoli ultimenotizie covid medici succedeoggi  
492	@RealGossipland Come si chiama quando ti metti a vaccinare miliardi di persone mentre aspetti la verifica dei dati?	1.0	0.0	2023-09-09 17:38	 come si chiama quando ti metti a vaccinare miliardi di persone mentre aspetti la verifica dei dati	vaccinare	 come si chiama quando ti metti a  miliardi di persone mentre aspetti la verifica dei dati
493	@Adriano72197026 Se la gente si vuol vaccinare, cavoli suoi , per gli imbecilli non c'è né compassione né rimedio !	1.0	0.0	2023-09-09 17:40	 se la gente si vuol vaccinare cavoli suoi  per gli imbecilli non cè né compassione né rimedio 	vaccinare	 se la gente si vuol  cavoli suoi  per gli imbecilli non cè né compassione né rimedio 
499	Ho fatto solo terzadoseSai qui ora e adessoC'è questo altro virusDi quarta generazionePiù sviluppato e progreditoBisogna combatterloMi faccio vaccinareAnche con la quarta dose di vaccinoSaluti da un MugicoStammi bene	1.0	0.0	2023-09-09 19:10	ho fatto solo terzadosesai qui ora e adessocè questo altro virusdi quaa generazionepiù sviluppato e progreditobisogna combatterlomi faccio vaccinareanche con la quaa dose di vaccinosaluti da un mugicostammi bene	vaccinare	ho fatto solo terzadosesai qui ora e adessocè questo altro virusdi quaa generazionepiù sviluppato e progreditobisogna combatterlomi faccio anche con la quaa dose di vaccinosaluti da un mugicostammi bene
523	Il responsabile della sanità del governo della Florida avvisa i cittadinidi NON farsi vaccinare.?????? https://t.co/oIvUZCWGxf	1.0	0.0	2023-09-09 22:08	il responsabile della sanità del governo della florida avvisa i cittadinidi non farsi vaccinare 	vaccinare	il responsabile della sanità del governo della florida avvisa i cittadinidi non farsi  
553	@MedBunker @GerardoDAmico Più che altro dovrebbero chiedere che senso abbia vaccinare al di fuori della platea a rischio (che è la stessa del 2020) e di chi ne è a contatto, se i vaccini non immunizzano che per pochi giorni,ma ovviamente mi risponderà che non è così e che bisogna comunque vaccinare tutti.	1.0	0.0	2023-09-10 5:29	  più che altro dovrebbero chiedere che senso abbia vaccinare al di fuori della platea a rischio che è la stessa del  e di chi ne è a contatto se i vaccini non immunizzano che per pochi giornima ovviamente mi risponderà che non è così e che bisogna comunque vaccinare tutti	vaccinare	  più che altro dovrebbero chiedere che senso abbia  al di fuori della platea a rischio che è la stessa del  e di chi ne è a contatto se i vaccini non immunizzano che per pochi giornima ovviamente mi risponderà che non è così e che bisogna comunque  tutti
555	@Adriano72197026 ADRIANO, VATTI A VACCINARE CAZZO!!! ????????	1.0	0.0	2023-09-10 5:33	 adriano vatti a vaccinare cazzo 	vaccinare	 adriano vatti a  cazzo 
564	Il responsabile della sanità del governo della Florida avvisa i cittadini di NON farsi vaccinare. https://t.co/d4YUUUfBpG	1.0	0.0	2023-09-10 6:21	il responsabile della sanità del governo della florida avvisa i cittadini di non farsi vaccinare 	vaccinare	il responsabile della sanità del governo della florida avvisa i cittadini di non farsi  
